NewRef,New_ID,New_ID_Bis,Old-ID,CurrentLabel,Current+,Current-no-macrons,Revise,RevisedLabel,RevisedLabel-no-macrons,TC-Notes,Status,Julia,Stephanie,Notes-From-Ian,NewNotes4/26,Notes-4-Ian,My-Notes,Other_Name,Monastery,Multiple,Arabic-Name,URIs,Syriaca_ID,Syriaca_Name,02-03,04-05,6,7,8,9,10-11,12-13,14,15,16-17,18,19
43,261,New261,,Circesium,Circesium,Circesium,FALSE,,Circesium/Qarqisyun,Can we add a name represending Syriac (Qarqisyun) or Arabic (Qarqīsiyāʾ)?,LABEL REV.,,,,Can we add a name represending Syriac (Qarqisyun) or Arabic (Qarqisiyaʾ) on one of the smaller maps?,If space allows.,,,,,,,http://syriaca.org/place/62,#N/A,02-03,,,,,,10-11,,,,,,
44,484,New484,,COMMAGENE,COMMAGENE,COMMAGENE,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/658443,,#N/A,02-03,,,,,,10-11,,,,,,
45,62,New62,Old145,Ctesiphon,Ctesiphon,Ctesiphon,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/58,Ctesiphon,02-03,,,,,,,12-13,14,,,,
46,439,New439,Old392,CYPRUS,CYPRUS,CYPRUS,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/714,Cyprus,02-03,04-05,6,,,,,,,,,,
47,171,New171,Old438,Cyrrhus,Cyrrhus,Cyrrhus,FALSE,,Cyrrhus/Qurus,,FINAL,,,,,,,,,,,,http://syriaca.org/place/65,Cyrrhus,02-03,,6,,,,,,,,,,
48,45,New45,Old1,Damascus,Damascus,Damascus,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/66,Damascus,02-03,04-05,,7,8,,,,,,,,
49,536,New536,,Dara,Dara,Dara,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/67,#N/A,02-03,,,,,,10-11,,,,,,19
50,296,New296,,Dasqarta d-Malka,Dasqarta d-Malka,Dasqarta d-Malka,FALSE,,,,FINAL,,,,,,page 32 map of http://web.b.ebscohost.com/ehost/ebookviewer/ebook/bmxlYmtfXzEwMjE2OV9fQU41?sid=ba30cc39-aaf6-4182-ba5b-98475813cffe@sessionmgr101&vid=0&format=EB&rid=1,,,,,N/A,,#N/A,02-03,,,,,,,12-13,,,,,
51,#N/A,#N/A,#N/A,Dead Sea,Dead Sea,Dead Sea,FALSE,,,,FINAL,,,,,,,,,,,http://pleiades.stoa.org/places/697709,,#N/A,,,,,8,,,,,,,,
52,#N/A,#N/A,#N/A,Dura/Europos,Dura/Europos,Dura/Europos,FALSE,Dura/Europos,Dura/Europos,,FINAL,,,"while the latter is a common usage in the literature, it is technically inaccurate, as the site was known as either Dura or Europos, never as both. That is why I used /. Should I still change it to the inaccurate Dura-Europos?",Agree,,,,,,,,http://syriaca.org/place/77,Dura-Europos,02-03,,,,,,10-11,,,,,,
53,228,New228,,Dvin,Dvin,Dvin,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/863780,,#N/A,02-03,04-05,,,,,,,14,,,,
54,83,New83,Old106,Edessa,Edessa,Edessa,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/78,Edessa,02-03,04-05,,,,,10-11,,,,,,
55,#N/A,#N/A,#N/A,ELAM,ELAM,ELAM,FALSE,,ELAM/KHUZISTAN/BETH ḤUZAYE,This is hard to read on map 02-03,QUESTION,,,,,This label is a bit hard to read on 02-03,,,,,,http://pleiades.stoa.org/places/912842,http://syriaca.org/place/706,#N/A,02-03,,,,,,,12-13,,,,,
56,#N/A,#N/A,#N/A,Emesa,Emesa,Emesa,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/215,Emesa,02-03,,,,,,,,,,,,
57,#N/A,#N/A,#N/A,Epiphania,Epiphania,Epiphania,FALSE,Epiphaneia,Epiphaneia,,LABEL REV.,,,,,,,,,,,,http://syriaca.org/place/91,Ḥama,02-03,,,,,,,,,,,,
58,226,New226,,Erznka,Erznka,Erznka,FALSE,,Erznka,I would prefer Erznka to Yerznka,FINAL,,,,Please revert to Erznka,Revert to Erznka,,,,,,https://pleiades.stoa.org/places/874467,http://syriaca.org/place/284,#N/A,02-03,,,,,,,,,,,,
59,#N/A,#N/A,#N/A,Euphrates R.,Euphrates R.,Euphrates R.,FALSE,,,,REVISE,,,,,"Dan King asks is we can label major rivers on the large scale maps 02-03, 04-05 if not labelled and space permits.",,,,,,,http://syriaca.org/place/82,Euphrates,02-03,04-05,6,,,,10-11,12-13,14,,,,
61,#N/A,#N/A,#N/A,GALATIA,GALATIA,GALATIA,FALSE,,,,FINAL,,,,,,,,,,,http://pleiades.stoa.org/places/619161,,#N/A,02-03,,,,,,,,,,,,
62,#N/A,#N/A,#N/A,Ganjak,,Ganjak,Revise,,,,DELETE,,,,,Too likely to be confused with homonym Ganzak,,,,,,,,#N/A,02-03,,,,,,,,,,,,
63,519,New519,Old55,Ganzak,Ganzak,Ganzak,FALSE,,,,FINAL,,,,,,http://www.iranicaonline.org/articles/ganzak-,,,,,https://pleiades.stoa.org/places/884148,,#N/A,02-03,,,,,,10-11,,14,,,,
64,305,New305,,Gaza,Gaza,Gaza,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/87,#N/A,02-03,04-05,,,8,,,,,,,,
65,#N/A,#N/A,#N/A,Gazarta,Gazarta,Gazarta,FALSE,Gazarta,Gazarta,,NEW,,,,,Please add to 02-03 based on location of Gazarta/Cizre in map 04-05,,,,,,,http://syriaca.org/place/88,Gazarta,02-03,,,,,,,,,,,,
66,#N/A,#N/A,#N/A,Gerasa,Gerasa,Gerasa,FALSE,,,,FINAL,,,,,,,,,,,http://pleiades.stoa.org/places/678158,,#N/A,02-03,,,,8,,,,,,,,
67,#N/A,#N/A,#N/A,Germaniceia,Germaniceia,Germaniceia,FALSE,Germanicea,Germanicea,,LABEL REV.,,,,,,,,,,,,http://syriaca.org/place/89,#N/A,02-03,,,,,,,,,,,,
68,406,New406,Old17,GILAN,GILAN,GILAN,FALSE,,,,FINAL,,,,,,GILAN needs macrons on both vowels,,,,,http://www.iranicaonline.org/articles/gilan-index,,#N/A,02-03,04-05,,,,,,,14,,,,
69,76,New76,Old414,Hamadan,Hamadan,Hamadan,FALSE,Hamadān,Hamadan,,MACRON,,,,,,,,,,,http://www.iranicaonline.org/articles/hamadan,http://syriaca.org/place/823,Hamadān,02-03,04-05,,,,,,12-13,14,,,,
70,161,New161,Old272,Ḥaṭra,Ḥaṭra,Ḥaṭra,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/93,Ḥaṭra,02-03,,,,,,10-11,,,,,,
71,#N/A,#N/A,Old42,Ḥdatta,Ḥdatta,Ḥdatta,FALSE,,,,FINAL,,,,,,,,,,,https://en.wikipedia.org/wiki/Hdatta,http://syriaca.org/place/2096,Ḥadīde,02-03,04-05,,,,,10-11,,,,,,19
72,#N/A,#N/A,#N/A,Heliopolis,Heliopolis,Heliopolis,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/577,#N/A,02-03,,,,,,,,,,,,
73,#N/A,#N/A,#N/A,Hierapolis,Hierapolis,Hierapolis,FALSE,,Hierapolis/Mabbug,You don't want to use name Mabbug or at least Hierapolis/Mabbug?,LABEL REV.,,,,On this one can we fit Hierapolis/Mabbug since we are keeping Castabala?,,,,,,,,http://syriaca.org/place/122,Mabbug,02-03,,,,,,,,,,,,
74,#N/A,#N/A,#N/A,Hierapolis/Castabala,Hierapolis/Castabala,Hierapolis/Castabala,FALSE,,Castabala,,LABEL REV.,,,,Let's just use Castabala,Too likely to cause confusion with other Hierapolis which is important,,,,,,,,#N/A,02-03,,6,,,,,,,,,,
75,#N/A,#N/A,#N/A,Ḥirta/Ḥira,Ḥirta/Ḥira,Ḥirta/Ḥira,FALSE,Ḥirta/Ḥīra,Ḥirta/al-Ḥira,"I would suggest Ḥirta/al-Ḥīra instead, so that both are definite (and notice macron over 'i' in Arabic name).",MACRON,,,,Sorry can we revert back to al-Hira,,,,,,,,http://syriaca.org/place/219,#N/A,02-03,,,,,,,12-13,,,,,
76,#N/A,#N/A,#N/A,Ḥulwan/Beth Lashpar,Ḥulwan/Beth Lashpar,Ḥulwan/Beth Lashpar,FALSE,Ḥulwān/Beth Lashpar,Ḥulwan/Beth Lashpar,Does this Ḥulwan has a different location than the Ḥulwān on map 04-05?,QUESTION,,,,Does this Ḥulwan has a different location than the Ḥulwān on map 04-05?,Does this Ḥulwan has a different location than the Ḥulwān on map 04-05?,page 32 map of http://web.b.ebscohost.com/ehost/ebookviewer/ebook/bmxlYmtfXzEwMjE2OV9fQU41?sid=ba30cc39-aaf6-4182-ba5b-98475813cffe@sessionmgr101&vid=0&format=EB&rid=1,,,,,https://pleiades.stoa.org/places/903043/beth-lashpar,http://syriaca.org/place/220 ,#N/A,02-03,,,,,,,12-13,,,,,
77,#N/A,#N/A,#N/A,Iconium,Iconium,Iconium,FALSE,,,,FINAL,,,,,,,,,,,http://pleiades.stoa.org/places/648647,,#N/A,02-03,,,,,,,,,,,,
78,#N/A,#N/A,#N/A,Jabiya/Ḥirta al-Ṭayyāyē,Jabiya/Ḥirta al-Ṭayyāyē,Jabiya/Ḥirta al-Ṭayyaye,Revise,Jābiya/Ḥirta d-Ṭayyaye,Jabiya/Ḥirta d-Ṭayyaye,,LABEL REV.,,,,,"First name is Arabic, second is Syriac",,,,,y,N/A,,#N/A,02-03,,,,8,,,,,,,,
79,90,New90,Old148,Jerusalem,Jerusalem,Jerusalem,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/104,Jerusalem,02-03,04-05,,,8,,,,,,,,
80,#N/A,#N/A,#N/A,Joppa,Joppa,Joppa,FALSE,,,,FINAL,,,,,,,,,,,http://pleiades.stoa.org/places/687931,,#N/A,02-03,,,,,,,,,,,,
81,#N/A,#N/A,#N/A,Karka d-Beth Solkh,Karka d-Beth Solkh,Karka d-Beth Solkh,FALSE,Karka d-Beth Slokh,Karka d-Beth Slokh,,LABEL REV.,,,,,transpose o/l,,,,,,,http://syriaca.org/place/108,Karka d-Beth Slokh,02-03,,,,,,,,,,,,
82,179,New179,Old73,Karka d-Maishan,Karka d-Maishan,Karka d-Maishan,FALSE,Karka d-Maishan?,Karka d-Maishan?,,QUESTION,,,,,"I am not sure about the location for this site, perhaps we would do best to list it with a ? (see https://pleiades.stoa.org/places/912872). I see that wikimapia has the same location we do. But three separate modern Syriac studies put the location further east at about 30.7437507,48.4184645",http://apps.brepolis.net/dhge/test/LinkingIn.aspx?id=60443,,,,,https://pleiades.stoa.org/places/912872,,#N/A,02-03,,,,,,,12-13,14,,,,
83,231,New231,,Kars,Kars,Kars,FALSE,,,,FINAL,,,,,,,,,,,https://gazetteer.dainst.org/app/#!/show/2103415,,#N/A,02-03,04-05,,,,,,,,,,,
84,79,New79,Old150,Kashkar,Kashkar,Kashkar,FALSE,,Kashkar/Wasiṭ,,FINAL,,,,,,,,,,,,http://syriaca.org/place/111,Kashkar,02-03,,,,,,,12-13,14,,,,
85,#N/A,#N/A,#N/A,Kura R.,Kura R.,Kura R.,FALSE,,,,FINAL,,,,,,https://en.wikipedia.org/wiki/Kura_(Caspian_Sea),,,,,http://www.iranicaonline.org/articles/cyrus-river-in-central-asia,,#N/A,02-03,04-05,,,,,,,,,,,
86,#N/A,#N/A,#N/A,L. Sevan,L. Sevan,L. Sevan,FALSE,,,,FINAL,,,,,,,,,,,https://en.wikipedia.org/wiki/Lake_Sevan,,#N/A,02-03,04-05,,,,,,,,,,,
87,#N/A,#N/A,#N/A,L. Tuz,L. Tuz,L. Tuz,FALSE,L. Tatta,L. Tatta,,LABEL REV.,,,,,Please revise on 02-03 but keep as L. Tuz on 04-05,,L. Tuz,,,,https://pleiades.stoa.org/places/619268,,#N/A,02-03,04-05,,,,,,,,,,,
88,#N/A,#N/A,#N/A,L. Urmi,L. Urmi,L. Urmi,FALSE,L. Urmia,L. Urmia,,LABEL REV.,,,,,"Prefer Syriac vocalization, except for on map 19 leave as Urmi",,,,,,,http://syriaca.org/place/116,#N/A,02-03,04-05,,,,,10-11,,14,,,,19
89,#N/A,#N/A,#N/A,L. Van,L. Van,L. Van,FALSE,,,,REVISE,,,,,This label could be deleted from map 14 to save space.,,,,,,,http://syriaca.org/place/117,Lake Van,02-03,04-05,,,,,10-11,,14,,,,19
90,#N/A,#N/A,#N/A,Laodicea,Laodicea,Laodicea,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/118,#N/A,02-03,,,,,,,,,,,,
92,#N/A,#N/A,#N/A,MAISHAN,MAISHAN,MAISHAN,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/123,#N/A,02-03,,,,,,,12-13,,,,,
93,#N/A,#N/A,#N/A,Manzikert,Manzikert,Manzikert,FALSE,,,"I don't see this on map 02-03, but I think Manzikert is sufficiently well-known in English to invoke common form (like Edessa)",FINAL,,,,Agree revert to Manzikert,,"I don't see this on map 02-03, but I think Manzikert is sufficiently well-known in English to invoke common form (like Edessa)",,,,,,http://syriaca.org/place/462,#N/A,02-03,,,,,,,,,,,,
94,#N/A,#N/A,#N/A,Martyropolis,Martyropolis,Martyropolis,FALSE,Martyropolis/Maipherqaṭ,Martyropolis/Maipherqaṭ,,FINAL,,,"Martyropolis – Martyropolis/Maipherqaṭ - I don’t think this would fit on map 2-3, but both names will appear on map 10-11.",Agree,Please use the Syriac,,,,,,,http://syriaca.org/place/134,#N/A,02-03,,,,,,,,,,,,
95,#N/A,#N/A,#N/A,MEDIA,MEDIA,MEDIA,FALSE,,,,FINAL,,,,,,,,,,,http://pleiades.stoa.org/places/903080,,#N/A,02-03,,,,,,,,,,,,
96,522,New522,,Mediterranean Sea,Mediterranean Sea,Mediterranean Sea,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/135,#N/A,,04-05,6,7,8,,,,,,,,
97,50,New50,Old287,Melitene,Melitene,Melitene,FALSE,,Melitene/Malaṭiya,For a diachronic map I would use Melitene/Malaṭiyā,LABEL REV.,,,,Can we fit: Melitene/Malaṭiya?,,,,,,,,http://syriaca.org/place/136,Melitene,02-03,,,,,,10-11,,,,,,
98,#N/A,#N/A,#N/A,Neokaisareia,Neokaisareia,Neokaisareia,FALSE,Neocaesarea,Neocaesarea,,LABEL REV.,,,,,,,,,,,https://pleiades.stoa.org/places/857177,,#N/A,02-03,,,,,,,,,,,,
99,77,New77,Old67,Nihawand,Nihawand,Nihawand,FALSE,Nihāwand,,,FINAL,,,,,,,,,,,http://www.iranicaonline.org/articles/nehavand,,#N/A,02-03,04-05,,,,,,12-13,14,,,,
100,110,New110,Old154,Nineveh,Nineveh,Nineveh,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/144,Nineveh,02-03,,,,,,10-11,,,,,,19
101,#N/A,#N/A,#N/A,Nippur,Nippur,Nippur,FALSE,,,,FINAL,,,,,,,,,,,https://pleiades.stoa.org/places/912910,,#N/A,02-03,,,,,,,,,,,,
102,54,New54,Old10,Nisibis,Nisibis,Nisibis,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/142,Nisibis,02-03,,,,,,10-11,,,,,,19
103,#N/A,#N/A,#N/A,Olba,Olba,Olba,FALSE,,,,FINAL,,,,Okay to keep,We can save space and delete this.,,,,,,,,#N/A,02-03,,6,,,,,,,,,,
104,#N/A,#N/A,#N/A,Orchoe,Orchoe,Orchoe,FALSE,Uruk/Orchoe,Uruk/Orchoe,,LABEL REV.,,,,,,,,,,,https://pleiades.stoa.org/places/912986,,#N/A,02-03,,,,,,,12-13,,,,,
105,#N/A,#N/A,#N/A,Paidangaran,Paidangaran,Paidangaran,FALSE,Paydangaran,Paydangaran,,REVISE,,,"this does show up here, but under the Arabic-period name Baylaqan.","Okay, great please leave as is on 04-05 and do use Paydangaran as spelling on 02-03",Wow! I am impressed that you included this Syriac name. Please add to 04-05 if space. I don't think it can fit on 14.,http://geonames.nga.mil/namesgaz/detaillinksearch.asp?G_NAME=%2732FA88151C2A3774E0440003BA962ED3%27&Diacritics=DC,,,,,https://vici.org/vici/31945/,,#N/A,02-03,,,,,,,,14,,,,
106,478,New478,Old389,PALESTINE,PALESTINE,PALESTINE,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/698,Filasṭīn,02-03,04-05,,,8,,,,,,,,
107,92,New92,Old262,Palmyra,Palmyra,Palmyra,FALSE,,Palmyra/Tadmur,"On Maps 06 and 10-11, perhaps Palmyra/Tadmur?",LABEL REV.,,,,,"On Maps 06 and 10-11, perhaps Palmyra/Tadmur?",,,,,,,http://syriaca.org/place/153,Palmyra,02-03,,6,,,,10-11,,,,,,
108,#N/A,#N/A,#N/A,Paphus,Paphus,Paphus,FALSE,,Paphos,Perhaps Paphos (Greek form)?,LABEL REV.,,,,Perhaps Paphos (Greek form)?,,,,,,,http://pleiades.stoa.org/places/707596,,#N/A,02-03,,,,,,,,,,,,
109,#N/A,#N/A,#N/A,Partaw,Partaw,Partaw,FALSE,,,,FINAL,,,,,,,,,,,"https://en.wikipedia.org/wiki/Barda,_Azerbaijan",,#N/A,02-03,,,,,,,,14,,,,
110,210,New210,,Pelusium,Pelusium,Pelusium,FALSE,,,,FINAL,,,,,,,,,,,,http://syriaca.org/place/1473,#N/A,02-03,,,,8,,,,,,,,
