matchUri,Place Names,Nov17Long,Nov17Lat,FinalDDCoord,FinalLong,FinalLat,status,comments
syriaca.org/place/4104,Kormakitis#Kurmajit,35.342778,33.010833,"33.0102414000,35.3437301000",,,change,lat and long switched in one of them; numbers are different
syriaca.org/place/4122,Mount Lebanon,34.3,36.116667,"36.1148071000,34.3014363000",,,change,lat and long switched in one of them; numbers are different
syriaca.org/place/4439,Mantai#Mantota,79.966667,8.95,"79.9662423000,8.9507439000",,,change,final values are different
syriaca.org/place/4116,Mar Antonios#Qozhaya,34.283056,35.947222,"35.9465280000,34.2830947000",,,change,lat and long switched in one of them; numbers are different
syriaca.org/place/4118,Mar Elishaʿ,34.247998,36.003098,"36.0012156000,34.2483218000",,,change,lat and long switched in one of them; numbers are different
syriaca.org/place/4119,Mar Sharbel,34.1077799,35.7353824,"35.7537067000,34.1209623000",,,change,lat and long switched in one of them; numbers are different
syriaca.org/place/4120,Mar Yuḥanon Maron,34.24833,35.75306,"35.7530600000,34.2483300000",,,change,lat and long switched in one of them; otherwise rounding mis-match
syriaca.org/place/135,Mediterranean Sea,31.85564904,33.48751125,"31.8556490383,33.4875112481",,,rounding mis-match,
syriaca.org/place/4385,Mongolia,102.3338328,45.68006332,"102.3338327670,45.6800633235",,,rounding mis-match,
syriaca.org/place/4080,Muqan,48.64618816,39.92867119,"48.6461881592,39.9286711924",,,rounding mis-match,
syriaca.org/place/4121,Our Lady of Mayfuq,34.1820579,35.7814447,"35.7768703000,34.1831129000",,,change,lat and long switched in one of them; numbers are different
syriaca.org/place/4123,Qadisha Valley,34.24333,36.04889,"35.9518147000,34.2544497000",,,change,lat and long switched in one of them (I think); numbers are different
syriaca.org/place/2362,Salakh,44.92562799,36.64228853,"44.9256279894,36.6422885298",,,rounding mis-match,
syriaca.org/place/778,Šammәsdin,44.55667701,37.28717017,"44.5566770050,37.2871701749",,,rounding mis-match,
syriaca.org/place/4488,Semirechye#Yeti Su,76.22007598,45.27817561,"76.2200759792,45.2781756072",,,rounding mis-match,
syriaca.org/place/524,Mount Sinjar,41.85253799,36.3957954,"41.8525379880,36.3957953965",,,rounding mis-match,
syriaca.org/place/642,Socotra,53.89750348,12.44953183,"53.8975034764,12.4495318291",,,rounding mis-match,
syriaca.org/place/4273,Sogdiana#Transoxiana,66.16976393,39.40573866,"66.1697639277,39.4057386647",,,question,"The final coordinates for TRANSOXIANA (MAWARA'N-NAHR) are 65.6650773465,40.4818028468"
syriaca.org/place/4409,Tarim Basin,81.0275386,39.35544507,"81.0275385989,39.3554450663",,,rounding mis-match,
syriaca.org/place/4410,Tenduc,109.2775584,40.28038989,"109.2775583965,40.2803898943",,,rounding mis-match,
syriaca.org/place/250,Tergawar,44.7631281,37.42495451,"44.7631280972,37.4249545113",,,rounding mis-match,
syriaca.org/place/4411,Thar Desert,70.37301407,26.87582726,"70.3730140659,26.8758272626",,,rounding mis-match,
syriaca.org/place/4445,Thiruvalla,76.574891,9.381603,"76.5758765000,9.3848472000",,,change,different values in final
syriaca.org/place/789,Ṭirhan,44.04681623,34.43402855,"44.0468162254,34.4340285524",,,rounding mis-match,
syriaca.org/place/761,Lower Ṭiyari,43.45030391,37.31549836,"43.4503039071,37.3154983623",,,rounding mis-match,
syriaca.org/place/790,Upper Ṭiyari,43.41568057,37.496484,"43.4156805669,37.4964840042",,,rounding mis-match,
syriaca.org/place/647,Turkistan,65.65076424,41.30298951,"65.6507642386,41.3029895092",,,rounding mis-match,
syriaca.org/place/4124,Yanuḥ,34.100583,35.884036,"35.8846307000,34.1035075000",,,change,lat and long switched in one of them; numbers are different
