DNU,Place Name,Syriaca-Name,Check with author,Syriaca-URI,ID_Number,Pleiades,Geonames,Wikipedia,Viaf,DARE,geonames.nga.mil,DAI,Iranica,Other,Place_Type_from_working-data,DNU,"Syriaca,DD",DNU,Draft_Coordinates_DMS,DNU,Draft_Coordinates_DD,Apprx,Source,UniqueID_from_working-data,OtherID_from_working-data,GazetterNote_from_working-data,Notes_from_working-data,Date Range,Requested-by_from_working-data,RelatedChapter_from_working-data,Scope,Existence_Date,DNU,Map#
Old11,Erbil,,,http://syriaca.org/place/2300,Old11,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old11,"36.191111,44.009167",Old11,,Old11,,,http://syriaca.org/place/13,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old11,1
Old12,Mosul,,,,Old12,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old12,"36.366667,43.116667",Old12,,Old12,,,http://syriaca.org/place/139,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old12,1
Old13,Tarbiz,,,,Old13,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old13,#N/A,Old13,,Old13,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old13,1
Old14,Karka d'Beth Solkh,,,,Old14,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old14,"35.468099,44.3953",Old14,,Old14,,,http://syriaca.org/place/108,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old14,1
Old15,Daququa,,,,Old15,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old15,#N/A,Old15,,Old15,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old15,1
Old16,Hulwan,,,,Old16,,,https://en.wikipedia.org/wiki/Hulwan_(East_Syrian_Ecclesiastical_Province),,,,,,,Diocese (Diocese (Archdiocese)),Old16,"34.465,45.855",Old16,,Old16,,,http://syriaca.org/place/220,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old16,1
Old17,Gilan,,,,Old17,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old17,#N/A,Old17,,Old17,"37.280833,49.583056",y,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old17,1
Old18,Seleucia-Ctesiphon,,,http://syriaca.org/place/2615,Old18,,,,,,,,,,Diocese (Patriarchate),Old18,"33.094444,44.522222",Old18,,Old18,,,,,,,duplicate,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old18,1
Old19,Rai,,,http://syriaca.org/place/38,Old19,,,https://en.wikipedia.org/wiki/Rai_(East_Syrian_Ecclesiastical_Province),,,,,,Eccl Province,Diocese (Diocese (Archdiocese)),Old19,#N/A,Old19,,Old19,"36,54",y,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old19,1
Old20,Jundishapur,,,,Old20,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old20,"32.283618,48.516471",Old20,,Old20,,,http://syriaca.org/place/35,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old20,1
Old21,Basra,,,http://syriaca.org/place/2269,Old21,,,,,,,,,,Diocese (Diocese (Archdiocese)),Old21,"30.5,47.816667",Old21,,Old21,,,http://syriaca.org/place/44,,,,Needs to be confirmed; location names are close but not the same,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old21,1
Old22,Rev Ardashir,,,,Old22,http://pleiades.stoa.org/places/922711,,,,,,,,,Diocese (Diocese (Archdiocese)),Old22,#N/A,Old22,,Old22,"28.911919,50.836721",,http://pleiades.stoa.org/places/922711,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old22,1
Old23,Raqqa,,,,Old23,,,,,,,,,,Diocese,Old23,"35.95,39.016667",Old23,,Old23,,,http://syriaca.org/place/109,,,,Please confirm this is the correct location,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old23,1
Old24,Arzun,Ḥalabja,,http://syriaca.org/place/2256,Old24,,,,,,,,,,Diocese,Old24,#N/A,Old24,,Old24,"38.0262,41.48434,",y,imperium.ahlfeldt.se/places/34734,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old24,1
Old25,Bidlis,,,http://syriaca.org/place/2283,Old25,,,,,,,,,,Diocese,Old25,"38.4,42.116666",Old25,,Old25,,,http://syriaca.org/place/300,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old25,1
Old26,Qardu,,,http://syriaca.org/place/2355,Old26,,,,,,,,,,Diocese,Old26,#N/A,Old26,,Old26,"37.369444,42.344167",,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old26,1
Old27,Qaimar,,Not found,http://syriaca.org/place/770,Old27,,,,,,,,,,Diocese,Old27,#N/A,Old27,,Old27,"37.369444,42.344167",,,,,,coordinates are blank,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old27,1
Old28,Qarta,,Not found,http://syriaca.org/place/2356,Old28,,,,,,,,,,Diocese,Old28,#N/A,Old28,,Old28,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old28,1
Old29,Shigar,,,http://syriaca.org/place/2377,Old29,,,,,,,,,,Diocese,Old29,"36.354311,41.7171985",Old29,,Old29,,,http://syriaca.org/place/524,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old29,1
Old30,Rishʿania,,,,Old30,,,,,,,,,,Diocese,Old30,"36.82584,40.04962",Old30,,Old30,,,http://syriaca.org/place/172,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old30,1
Old31,Gazarta,,,http://syriaca.org/place/2332,Old31,,,,,,,,,,Diocese,Old31,"37.325,42.195833",Old31,,Old31,,,http://syriaca.org/place/88,,,,Need to confirm Gazetteer entry is correct,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old31,1
Old32,Salmas,,,http://syriaca.org/place/2368,Old32,,,,,,,,,,Diocese,Old32,"38.2,44.766667",Old32,,Old32,,,http://syriaca.org/place/177,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old32,1
Old33,Beth Bgash,,Not found,http://syriaca.org/place/580,Old33,,,,,,,,,,Diocese,Old33,,Old33,,Old33,,,,,,,Coordinates are blank,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old33,1
Old34,Urmia,,,,Old34,,,,,,,,,,Diocese,Old34,"37.55,45.1",Old34,,Old34,,,http://syriaca.org/place/206,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old34,1
Old35,Eshnuq,,Not found,http://syriaca.org/place/2301,Old35,,,,,,,,,,Diocese,Old35,#N/A,Old35,,Old35,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old35,1
Old36,Hebton,,Not found,http://syriaca.org/place/2316,Old36,,,,,,,,,,Diocese,Old36,#N/A,Old36,,Old36,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old36,1
Old37,Beth Dasen,,Not found,http://syriaca.org/place/2299,Old37,,,,,,,,,,Diocese,Old37,#N/A,Old37,,Old37,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old37,1
Old38,Tamanon,,Not found,http://syriaca.org/place/2395,Old38,,,,,,,,,,Diocese,Old38,#N/A,Old38,,Old38,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old38,1
Old39,Beth Nuhadra,,Not found,http://syriaca.org/place/36,Old39,,,,,,,,,,Diocese,Old39,,Old39,,Old39,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old39,1
Old40,Marga,,Not found,http://syriaca.org/place/457,Old40,,,,,,,,,,Diocese,Old40,,Old40,,Old40,,,,,,,This URI is for the east diocese; the west diocese is also available,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old40,1
Old41,Balad,,,,Old41,,,,,,,,,,Diocese,Old41,"36.514152,42.726566",Old41,,Old41,,,http://syriaca.org/place/42,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old41,1
Old42,Hdatta,,,http://syriaca.org/place/2096,Old42,,,,,,,,,,Diocese,Old42,#N/A,Old42,,Old42,"35.983,43.353",y,https://en.wikipedia.org/wiki/Hdatta,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old42,1
Old43,Beth Waziq,,Not found,http://syriaca.org/place/2281,Old43,,,,,,,,,,Diocese,Old43,#N/A,Old43,,Old43,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old43,1
Old44,Shenna d'Beth Ramman,,Not found,http://syriaca.org/place/2374,Old44,,,,,,,,,,Diocese,Old44,#N/A,Old44,,Old44,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old44,1
Old45,Qasr,,Not found,http://syriaca.org/place/492,Old45,,,,,,,,,,Diocese,Old45,,Old45,,Old45,,,,,,,Needs to be confirmed; location names are close but not the same,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old45,1
Old46,Salakh,,Need representative point,http://syriaca.org/place/2362,Old46,,,https://en.wikipedia.org/wiki/Salakh_(East_Syrian_Diocese),,,,,,,Diocese,Old46,#N/A,Old46,,Old46,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old46,1
Old47,Hnitha,,Need representative point,http://syriaca.org/place/2316.html,Old47,,,,,,,,,,Diocese,Old47,#N/A,Old47,,Old47,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old47,1
Old48,Shahrgard,,"Need representative point, this source claims Beth Selok: https://books.google.com/books?id=8zxGAAAAYAAJ&lpg=PA193&ots=ir8ih4VTzG&dq=Shahrgard%20city&pg=PA193#v=onepage&q=Shahrgard%20city&f=false",http://syriaca.org/place/2370,Old48,,,,,,,,,https://books.google.com/books?id=8vTTCwG0nKIC&pg=PA514&lpg=PA514&dq=Shahrgard+city&source=bl&ots=GDJ1Jm6XFu&sig=NIC1-xhsHsCEr_G9NTora5Jw64I&hl=en&sa=X&ved=0ahUKEwjMl_DR3fHNAhXFRCYKHepqD7UQ6AEIKTAE#v=onepage&q=Shahrgard%20city&f=false,Diocese,Old48,#N/A,Old48,,Old48,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old48,1
Old49,Tirhan,,"Need representative point, used Tagrit",http://syriaca.org/place/2396,Old49,,,https://en.wikipedia.org/wiki/Tirhan_(East_Syrian_Diocese),,,,,,,Diocese,Old49,"34.6,43.68333",Old49,,Old49,,,http://syriaca.org/place/193,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old49,1
Old50,ʿUkbara,,"Ian found representative point, this source claims Beth Selok: https://books.google.com/books?id=8zxGAAAAYAAJ&lpg=PA193&ots=ir8ih4VTzG&dq=Shahrgard%20city&pg=PA193#v=onepage&q=Shahrgard%20city&f=false",,Old50,,,,,,,,,http://gap.alexandriaarchive.org/gane/edit-place?placeID=63707,Diocese,Old50,#N/A,Old50,,Old50,,,,,,http://referenceworks.brillonline.com/entries/encyclopedia-of-jews-in-the-islamic-world/mishawayh-al-ukbari-SIM_0015420?s.num=16&s.rows=20&s.start=0,Needs to be confirmed; location names are close but not the same,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old50,1
Old51,Anbar,,,,Old51,,,,,,,,,,Diocese,Old51,"33.4000693333,43.640686",Old51,,Old51,,,http://syriaca.org/place/211,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old51,1
Old52,Nifr,,Need representative point,,Old52,,,,,,,,,,Diocese,Old52,#N/A,Old52,,Old52,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old52,1
Old53,Hirta,,,,Old53,,,,,,,,,,Diocese,Old53,"31.88332,44.44985",Old53,,Old53,,,http://syriaca.org/place/219,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old53,1
Old54,Muqan,,Need representative point,,Old54,,,,,,,,,,Diocese,Old54,#N/A,Old54,,Old54,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old54,1
Old55,Ganzak,,,,Old55,,,,,,,,,,Diocese,Old55,#N/A,Old55,,Old55,"37.012264,46.201883",y,http://dare.ht.lu.se/places/25263,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old55,1
Old56,Hrbath Glal,,Need representative point,,Old56,,,,,,,,,,Diocese,Old56,#N/A,Old56,,Old56,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old56,1
Old57,Shahrzur,,"Need representative point, https://books.google.com/books?id=Tx5GAQAAIAAJ&pg=PA339&lpg=PA339&dq=Shahrzur&source=bl&ots=UkzMWmXXO5&sig=A0L9JHXvwABgc5geRLM30OoYC1A&hl=en&sa=X&ved=0ahUKEwjr2an5jPPNAhXGRyYKHQVyA8YQ6AEIQDAG#v=onepage&q=Shahrzur&f=false",http://syriaca.org/place/2371,Old57,,,,,,,,,,Diocese,Old57,#N/A,Old57,,Old57,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old57,1
Old58,Dinawar,,,,Old58,,,,,,,,,,Diocese,Old58,#N/A,Old58,,Old58,"34.584336,47.439729",y,http://dare.ht.lu.se/places/33985.html,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old58,1
Old59,Zabe,,"Same as Nuʿmaniya?, Need representational point",,Old59,,,,,,,,,,Diocese,Old59,#N/A,Old59,,Old59,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old59,1
Old60,Rima,,"Need representative point, https://books.google.com/books?id=Tx5GAQAAIAAJ&pg=PA339&lpg=PA339&dq=Shahrzur&source=bl&ots=UkzMWmXXO5&sig=A0L9JHXvwABgc5geRLM30OoYC1A&hl=en&sa=X&ved=0ahUKEwjr2an5jPPNAhXGRyYKHQVyA8YQ6AEIQDAG#v=onepage&q=Shahrzur&f=false",,Old60,,,,,,,,,,Diocese,Old60,#N/A,Old60,,Old60,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old60,1
Old61,Kashkar,,,http://syriaca.org/place/2323,Old61,,,,,,,,,,Diocese,Old61,#N/A,Old61,,Old61,"32.18618,46.29969",y,http://dare.ht.lu.se/places/25148,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old61,1
Old62,Beth Daraye,,not found,,Old62,,,https://en.wikipedia.org/wiki/Beth_Daraye,,,,,,http://www.iranicaonline.org/articles/be-daraye,Diocese,Old62,#N/A,Old62,,Old62,"33.116667,45.95",Y,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old62,1
Old63,Radhan,,not found,,Old63,,,,,,,,,https://books.google.com/books?id=DbwpAAAAYAAJ&pg=PA515&lpg=PA515&dq=Beth+Daron&source=bl&ots=HeBoHNa81Z&sig=WCzUIKoQyYbxs8gWmccPQPGSq3Y&hl=en&sa=X&ved=0ahUKEwijjKHckvPNAhXM5yYKHRYLBFsQ6AEIKzAD#v=onepage&q&f=true,Diocese,Old63,#N/A,Old63,,Old63,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old63,1
Old64,Nahargur,,not found,,Old64,,,,,,,,,,Diocese,Old64,#N/A,Old64,,Old64,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old64,1
Old65,Gurgan,,,,Old65,,,,,,,,,,Diocese,Old65,#N/A,Old65,"37.232558, 55.1454375",Old65,"37.232558,55.1454375",y,http://dare.ht.lu.se/places/25241,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old65,1
Old66,Hamadan,,,,Old66,,,,,,,,,,Diocese,Old66,"34.799294,48.512209",Old66,,Old66,,y,http://syriaca.org/place/823,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old66,1
Old67,Nihawand,,,,Old67,,,,,,,,,,Diocese,Old67,#N/A,Old67,,Old67,"34.18761,48.367981",y,http://dare.ht.lu.se/places/22306,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old67,1
Old68,Ispahan,,,,Old68,,,,,,,,,,Diocese,Old68,"32.65139,51.679191",Old68,,Old68,,y,http://syriaca.org/place/830,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old68,1
Old69,Susa,,,http://syriaca.org/place/2381,Old69,,,,,,,,,,Diocese,Old69,#N/A,Old69,,Old69,"32.19202,48.24854",y,http://dare.ht.lu.se/places/22221.html,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old69,1
Old70,Karka d'Ledan,,"Need location, modern Ivan-i Karhah or Ivan-e Karha",http://syriaca.org/place/656,Old70,,,https://it.wikipedia.org/wiki/Diocesi_di_Karka_d%27Ledan?oldformat=true,,,,,,,Diocese,Old70,,Old70,,Old70,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old70,1
Old71,Shushter,,Is this correct? Name needs changing,,Old71,,,,,,,,,,Diocese,Old71,#N/A,Old71,,Old71,"32.0507229,48.8530058",y,http://dare.ht.lu.se/places/25151,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old71,1
Old72,Ahwaz,,Is this correct?,http://syriaca.org/place/2243,Old72,,,,,,,,,,Diocese,Old72,#N/A,Old72,,Old72,"31.320278,48.669167",y,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old72,1
Old73,Karka d'Maishan,,,,Old73,,,,,,,,,,Diocese,Old73,#N/A,Old73,,Old73,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old73,1
Old74,Baghdad,,,,Old74,,,,,,,,,,Diocese (Patriarchate),Old74,"33.325,44.422",Old74,,Old74,,,http://syriaca.org/place/41,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old74,1
Old75,Rai,,,http://syriaca.org/place/38,Old75,,,https://en.wikipedia.org/wiki/Rai_(East_Syrian_Ecclesiastical_Province),,,,,,,Diocese (Province),Old75,#N/A,Old75,,Old75,"36,54",y,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old75,1
Old76,Fars,,,,Old76,,,,,,,,,,Diocese (Province),Old76,"30.5,51.5",Old76,,Old76,,y,http://syriaca.org/place/84,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old76,1
Old77,Elam,,,,Old77,,,,,,,,,,Diocese (Province),Old77,,Old77,,Old77,"32,48",y,http://syriaca.org/place/706,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old77,1
Old78,Maishan,,"Do we need a separate suffragen diocese for 
Prat d-Maishan URI: http://syriaca.org/place/2354
Which I put as the coordinates here for the province.",,Old78,,,https://en.wikipedia.org/wiki/Maishan_(East_Syrian_Ecclesiastical_Province),,,,,,,Diocese (Province),Old78,#N/A,Old78,,Old78,"30.78305,47.70516",y,http://dare.ht.lu.se/places/25149,,,http://www.iranicaonline.org/articles/bahman-ardasir-or-forat-maysan-town-and-subdistrict-in-maysan-in-lower-iraq,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old78,1
Old79,Dailam and Gilan,,,,Old79,,,,,,,,,,Diocese (Province),Old79,#N/A,Old79,,Old79,"36.8889,49.9056",y,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old79,1
Old80,Hulwan,,,,Old80,,,,,,,,,,Diocese (Province),Old80,"34.465,45.855",Old80,,Old80,,y,http://syriaca.org/place/220,,,,Settlement listed but not region,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old80,1
Old81,Beth Aramaye,,,,Old81,,,,,,,,,,Diocese (Province),Old81,"32.5,44.5",Old81,,Old81,,y,http://syriaca.org/place/717,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old81,1
Old82,Beth Garmai,,,,Old82,,,,,,,,,,Diocese (Province),Old82,"35.5,44.5",Old82,,Old82,,y,http://syriaca.org/place/33,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old82,1
Old83,Erbil,,,,Old83,,,,,,,,,,Diocese (Province),Old83,"36.191111,44.009167",Old83,,Old83,,y,http://syriaca.org/place/13,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old83,1
Old84,Adardbaigan,,,http://syriaca.org/place/2278,Old84,,,,,,,,,,Diocese (Province),Old84,#N/A,Old84,,Old84,"40.3,47.7",y,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old84,1
Old85,Armenia,,,,Old85,,,,,,,,,,Diocese (Province),Old85,#N/A,Old85,,Old85,"39,43",,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old85,1
Old86,Mosul,,,http://syriaca.org/place/2346,Old86,,,,,,,,,,Diocese (Province),Old86,"36.366667,43.116667",Old86,,Old86,,,http://syriaca.org/place/139,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old86,1
Old87,Nisibis,,,,Old87,,,,,,,,,,Diocese (Province),Old87,"37.06667,41.21667",Old87,,Old87,,,http://syriaca.org/place/142,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old87,1
Old88,Damascus,,,,Old88,,,,,,,,,,Diocese (Province),Old88,"33.513,36.292",Old88,,Old88,,,http://syriaca.org/place/66,,,,This URI is listed as a settlement,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old88,1
Old89,Harran,,diocese?,http://syriaca.org/place/216,Old89,,,,,,,,,,Settlement,Old89,"36.8775,39.033889",Old89,,Old89,,,,,,,duplicate,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old89,1
Old90,Tagrit,,diocese?,http://syriaca.org/place/193,Old90,,,,,,,,,,Settlement,Old90,"34.6,43.68333",Old90,,Old90,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old90,1
Old91,Samarra,,diocese?,,Old91,http://pleiades.stoa.org/places/894082,,,,,,,,,Settlement,Old91,#N/A,Old91,,Old91,"34.200116,43.876735",,http://pleiades.stoa.org/places/894082,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old91,1
Old92,Nuʿmania,,"Not found, diocese?",,Old92,,,,,,,,,,Settlement,Old92,#N/A,Old92,,Old92,,,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old92,1
Old93,Qum,,"Qom?, diocese?",,Old93,,,https://en.wikipedia.org/wiki/Qom,,,,,,,Settlement,Old93,#N/A,Old93,,Old93,"34.6401,50.8764",,http://geonames.nga.mil,-4337455,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old93,1
Old94,Qashan,,diocese?,,Old94,,,https://en.wikipedia.org/wiki/Kashan,,,,,,,Settlement,Old94,#N/A,Old94,,Old94,"33.997284,51.441575",,http://geonames.nga.mil,10727036,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old94,1
Old95,Ubullah,,diocese?,,Old95,http://pleiades.stoa.org/places/912807,,,,,,,,,Settlement,Old95,#N/A,Old95,,Old95,"30.521707,47.833151",,,,,,,,David Wilmshurst,Church of the East,Mesopotamia,400-2016,Old95,1
Old96,Mar Musa al-Habashi,,,http://syriaca.org/place/228,Old96,,,,,,,,,,Monastery,Old96,"34.021667,36.842222",Old96,,Old96,,,,,,,,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old96,2
Old97,"Dayr Mar Elian, Qaryatayn",,,http://syriaca.org/place/275,Old97,,,https://en.wikipedia.org/wiki/Monastery_of_St._Elian,,,,,,,Monastery,Old97,,Old97,,Old97,"37.24374,34.23159",Y,,,,Destroyed by Isis?,The Monastery of Mar Elias has the remains of a medieval fresco cycle.,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old97,2
Old98,Dayr Yakub,,,,Old98,,,,,,,,,,Monastery,Old98,#N/A,Old98,,Old98,"37.12129,38.774864,194",,"Emma Loosley, “Dayr Yakub,” Architecture and Asceticism, accessed July 12, 2016, http://architectureandasceticism.exeter.ac.uk/items/show/132.",,,,This C5th monastery is on a hill to the south of Urfa now almost reached by suburbs. It is difficult to reach and marked on few maps – I have been unable to locate it in gazetteers. John Healey alerted me to its existence ahead of field work in Urfa.,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old98,2
Old99,Palmyra,,,http://syriaca.org/place/153,Old99,,,,,,,,,,Settlement,Old99,"34.56,38.26722",Old99,,Old99,,,,,,,,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old99,2
