NewIDs,NewID-num-only,Name,SyriacaURI,Status,Notes,Follow up task
New404,404,Adardbaigan,http://syriaca.org/place/2278,added to xml,"added to xml, but New Ref 152 is place/5, the region whereas the URI here, place/2278 is the diocese Adharbayjan. Is the NewId correct?",done
New408,408,Hebton,http://syriaca.org/place/2316,added to xml,note: this and Hnitha are already marked to check by hand,
New411,411,Hnitha,#N/A,added to xml,note: this and Hebton are already marked to check by hand,
New412,412,Sinjar,http://syriaca.org/place/524,added to xml,,
New414,414,Mar Abraham of Kashkar (Great Monastery) ,Err:520,added to xml,,
New415,415,mountIzla,http://syriaca.org/place/100,added to xml,,
New417,417,Al-Hijr,#N/A,added to xml,,
New419,419,MurghabRiver,#N/A,added to xml,,
New422,422,Euphrate,http://syriaca.org/place/82,added to xml,,
New423,423,Tigris,http://syriaca.org/place/202,added to xml,,
New424,424,GreatZab,http://syriaca.org/place/191,added to xml,note: uri should be place/204,
New425,425,LittleZab,http://syriaca.org/place/121,added to xml,,
New426,426,ChuRiver,#N/A,added to xml,,
New427,427,Tarim River,Err:520,added to xml,,
New428,428,YELLOW R ,Err:520,added to xml,,
New429,429,YANGZI R ,Err:520,added to xml,,
New430,430,MEKONG R ,Err:520,added to xml,,
New431,431,INDUS R ,Err:520,added to xml,,
New432,432,GANGES R ,Err:520,added to xml,,
New433,433,NARMADA R ,Err:520,added to xml,,
New434,434,BRAHMAPUTRA R ,Err:520,added to xml,,
New435,435,NILE R ,Err:520,added to xml,,
New438,438,HALYS R ,Err:520,not in final index,,
New447,447,Khorasan,http://syriaca.org/place/603,added to xml,,
New448,448,Khwarezm,#N/A,added to xml,,
New453,453,Surkhandarya,#N/A,added to xml,,
New461,461,HIMALAYA ,Err:520,added to xml,,
New462,462,HinduKush,#N/A,added to xml,,
New465,465,ALTAI ,Err:520,added to xml,,
New466,466,GODAVARI R ,Err:520,added to xml,,
New467,467,IRRAWADDY R ,Err:520,added to xml,,
New468,468,SALWEEN R ,Err:520,added to xml,,
New470,470,HELMAND R ,Err:520,added to xml,,
New471,471,Socotro Island ,Err:520,added to xml,"added to xml; this is Socotra, NewRef 377, place/642, right?",done
New472,472,OMAN ,Err:520,added to xml,,
New473,473,YEMEN ,Err:520,added to xml,,
New474,474,ETHIOPIA ,Err:520,added to xml,,
New475,475,NUBIA ,Err:520,added to xml,,
New477,477,Scete,http://syriaca.org/place/289,added to xml,,
New483,483,Georgia,http://syriaca.org/place/528,not in final index,,
New489,489,Turkistan,http://syriaca.org/place/647,added to xml,,
New490,490,Semirechye(YetiSu),#N/A,added to xml,,
New492,492,HARIRUD ,Err:520,added to xml,,
New496,496,Coromandel,http://syriaca.org/place/713,added to xml,note: uri corrected to place/4429; is that correct?,done
New504,504,BĒth-Garmai,http://syriaca.org/place/33,added to xml,,
New505,505,BethBgash,http://syriaca.org/place/580,added to xml,,
New506,506,Sirawan MASABADAN ,Err:520,added to xml,"associated with both NewRef 129 (Sirawan, place/4050) and NewRef 438 (Sirawan MASABADAN, place/4212); add to both and mark as check by hand at end?",done
New507,507,Bēth-Lapaṭ,http://syriaca.org/place/35,added to xml,,
New509,509,Maishan,#N/A,added to xml,"come back to this; it is a similar situation as the others where it is associated with Maishan the region perhaps but also with Furat/Bahman-Ardashir, which I think is a settlement",done
New510,510,Tamanon,http://syriaca.org/place/2395,added to xml,,
New511,511,Zabe,#N/A,added to xml,,
New512,512,Nahargur/ʿAbdasi (approx.) ,Err:520,added to xml,,
New514,514,Tirhan,http://syriaca.org/place/2396,added to xml,note: correct uri is place/789,
New523,523,RED SEA ,Err:520,added to xml,,
New526,526,BETH QATRAYE ,Err:520,added to xml,,
New532,532,Qarta,http://syriaca.org/place/2356,added to xml,,
New57,57,Daququa,#N/A,added to xml,is this the same as New Ref 184 (Daquqa)?,done
New64,64,Basra,http://syriaca.org/place/2269,added to xml,"this is the Basra, al-Ubulla issue I believe. Add to both and sort out later – or all three, old and new Basra as well as Ubulla?",done
New65,65,RevArdashir,#N/A,added to xml,,
New71,71,Hdatta,#N/A,added to xml,,
New84,84,Rome,http://syriaca.org/place/641,not in final index,,
New98,98,Samosata,http://syriaca.org/place/178,added to xml,,
