projectID	testimoniaID	Author	Work Title	Rife_Cited_Range	Source_Cited_Range	isContainer	Citation_URN	Citation_Link	Language	indirectReference	Full_Text	temp_NormalizingWhiteSpace	typosCorrected	Zotero URI_Machine-Readable	Zotero ID_Machine-Readable	Zotero URI_Print	Zotero ID_Print	STATUS	placeNamesMarked?	Zotero record added?	added_by	Eliana Comments	Josh comments	WLP Comments
229	121	Eusebius	Martyrae Palestinae	1.1	1.1-1.2		urn:cts:greekLit:tlg2018.tlg003.opp-grc1:1.1-1.2	https://scaife-cts.perseus.org/api/cts?request=GetPassage&urn=urn:cts:greekLit:tlg2018.tlg003.opp-grc1:1.1-1.2	Greek		Πρῶτος τοιγαροῦν τῶν ἐπὶ Παλαιστίνης μαρτύρων Προκόπιος, πρὶν ἢ φυλακῆς πεῖραν λαβεῖν, εὐθὺς ἀπὸ πρώτης εἰσόδου τοῖς ἡγεμονικοῖς παραστὰς δικαστηρίοις, θύειν τε τοῖς λεγομένοις προσταχθεὶς θεοῖς, ἔνα μόνον ἔφησεν εἰδέναι, ᾧ καθῆκεν ὡς αὐτὸς βούλεται θύειν· ὡς δὲ κἂν τοῖς βασιλεῦσι τέσσαρσι σπένδειν ἐκελεύετο, ῥῆμά τι φθεγξάμενος τῶν οὐ προσηνῶν αὐτοῖς αὐτίκα τὴν κεφαλὴν άποτέμνεται, τὸ ποιητικὸν εἰπὼν ἐκεῖνο “οὐκ ἀγαθὸν πολυκοιρανίη, εἷς κοίρανος ἔστω, εἶς βασιλεύς.” Δεσίου μηνὸς ἑβδόμῃ, πρὸ ἑπτὰ εἰδῶν Ἰουνίων λέγοιτ’ ἂν παρὰ Ῥωμαίοις, ἡμέρᾳ τετράδι σαββάτου τοῦτο πρῶτον ἐπὶ $Καισαρείας τῆς Παλαιστίνης% ἀπετελέσθη σημεῖον.	Πρῶτος τοιγαροῦν τῶν ἐπὶ Παλαιστίνης μαρτύρων Προκόπιος, πρὶν ἢ φυλακῆς πεῖραν λαβεῖν, εὐθὺς ἀπὸ πρώτης εἰσόδου τοῖς ἡγεμονικοῖς παραστὰς δικαστηρίοις, θύειν τε τοῖς λεγομένοις προσταχθεὶς θεοῖς, ἔνα μόνον ἔφησεν εἰδέναι, ᾧ καθῆκεν ὡς αὐτὸς βούλεται θύειν· ὡς δὲ κἂν τοῖς βασιλεῦσι τέσσαρσι σπένδειν ἐκελεύετο, ῥῆμά τι φθεγξάμενος τῶν οὐ προσηνῶν αὐτοῖς αὐτίκα τὴν κεφαλὴν άποτέμνεται, τὸ ποιητικὸν εἰπὼν ἐκεῖνο “οὐκ ἀγαθὸν πολυκοιρανίη, εἷς κοίρανος ἔστω, εἶς βασιλεύς.” Δεσίου μηνὸς ἑβδόμῃ, πρὸ ἑπτὰ εἰδῶν Ἰουνίων λέγοιτ’ ἂν παρὰ Ῥωμαίοις, ἡμέρᾳ τετράδι σαββάτου τοῦτο πρῶτον ἐπὶ $Καισαρείας τῆς Παλαιστίνης% ἀπετελέσθη σημεῖον.		https://www.zotero.org/groups/2320447/items/HHVGPUU8	HHVGPUU8	https://www.zotero.org/groups/2320447/items/G35HFK6A	G35HFK6A	ready to collate			Eliana			
230	121	Eusebius	Martyrae Palestinae	1.1	1.1-1.2		#N/A	https://ccel.org/ccel/schaff/npnf201/npnf201.iii.xiv.ii.html	English		The first of the martyrs of Palestine was Procopius, who, before he had received the trial of imprisonment, immediately on his first appearance before the governor’s tribunal, having been ordered to sacrifice to the so-called gods, declared that he knew only one to whom it was proper to sacrifice, as he himself wills. But when he was commanded to offer libations to the four emperors, having quoted a sentence which displeased them, he was immediately beheaded. The quotation was from the poet: “The rule of many is not good; let there be one ruler and one king.” It was the seventh day of the month Desius, the seventh before the ides of June, as the Romans reckon, and the fourth day of the week, when this first example was given at $Cæsarea in Palestine.%	The first of the martyrs of Palestine was Procopius, who, before he had received the trial of imprisonment, immediately on his first appearance before the governor’s tribunal, having been ordered to sacrifice to the so-called gods, declared that he knew only one to whom it was proper to sacrifice, as he himself wills. But when he was commanded to offer libations to the four emperors, having quoted a sentence which displeased them, he was immediately beheaded. The quotation was from the poet: “The rule of many is not good; let there be one ruler and one king.” It was the seventh day of the month Desius, the seventh before the ides of June, as the Romans reckon, and the fourth day of the week, when this first example was given at $Cæsarea in Palestine.%		https://www.zotero.org/groups/2320447/items/NANLZS57	NANLZS57	https://www.zotero.org/groups/2320447/items/BTVVYMAC	BTVVYMAC	ready to collate			Eliana	I added 1.2 because that is where Caesarea is mentioned by name		
230.01	185	Eusebius	Martyrae Palestinae		1.3		urn:cts:greekLit:tlg2018.tlg003.opp-grc1:1.3	https://scaife-cts.perseus.org/api/cts?request=GetPassage&urn=urn:cts:greekLit:tlg2018.tlg003.opp-grc1:1.3	Greek	Y	μετὰ δὲ τοῦτο ἐπὶ $τῆς αὐτῆς πόλεως% πλεῖστοι ὅσοι τῶν ἐπιχωρίων ἐκκλησιῶν ἄρχοντες, δειναῖς αἰκίαις προθύμως διαθλήσαντες, μεγάλων ἀγώνων ἱστορίαν τοῖς ἐνορῶσιν ἐνεδείξαντο, ἄλλοι δὲ ὑπὸ δειλίας τὴν ψυχὴν προναρκήσαντες προχείρως οὕτως ἀπὸ πρώτης ἐξησθένησαν προσβολῆς, τῶν δὲ λοιπῶν ἕκαστος εἴδη διάφορα βασάνων διήλλαττον, τοτὲ μὲν μάστιξιν ἀνηρίθμοις, τοτὲ δὲ στρεβλώσεσι καὶ καταξάνσεσι τῶν πλευρῶν δεσμοῖς τε ἀνυπομονήτοις, ὑφ’ ὧν τισὶ καὶ παρεθῆναι συνέβη τὰς χεῖρας. 			https://www.zotero.org/groups/2320447/items/HHVGPUU8	HHVGPUU8	https://www.zotero.org/groups/2320447/items/G35HFK6A	G35HFK6A	ready to collate			Eliana			
230.02	185	Eusebius	Martyrae Palestinae		1.3		#N/A	https://ccel.org/ccel/schaff/npnf201/npnf201.iii.xiv.ii.html	English	Y	Afterwards, $in the same city,% many rulers of the country churches readily endured terrible sufferings, and furnished to the beholders an example of noble conflicts. But others, benumbed in spirit by terror, were easily weakened at the first onset. Of the rest, each one endured different forms of torture, as scourgings without number, and rackings, and tearings of their sides, and insupportable fetters, by which the hands of some were dislocated.			https://www.zotero.org/groups/2320447/items/NANLZS57	NANLZS57	https://www.zotero.org/groups/2320447/items/BTVVYMAC	BTVVYMAC	ready to collate			Eliana			
232.01	186	Eusebius	Martyrae Palestinae		2.1		urn:cts:greekLit:tlg2018.tlg003.opp-grc1:2.1	https://scaife-cts.perseus.org/api/cts?request=GetPassage&urn=urn:cts:greekLit:tlg2018.tlg003.opp-grc1:2.1	Greek		Μνήμης δ’ ἄξια τυγχάνει καὶ τὰ περὶ Ῥωμανὸν ἐν Ἀντιοχείᾳ ἐπὶ τῆς αὐτῆς ἡμέρας ἀποτελεσθέντα. Παλαιστῖνός γὰρ οὗτος ὢν, διάκονός τε καὶ ἐπορκιστὴς τῆς ἐν $Καισαρείᾳ παροικίας,% ὁμοῦ τῇ τῶν ἐκκλησιῶν καθαιρέσει γενόμενος ἐκεῖσε, πλείους ἄνδρας ἅμα γυναιξὶ καὶ τέκνοις σωρηδὸν τοῖς εἰδώλοις προσιόντας τε καὶ θύοντας ἐνιδὼν. ἀνύποιστον ἡγησάμενος τὴν θέαν, ζήλῳ θεοσεβείας πρόσεισι, κἀκείνοις μεγάλῃ φωνῇ κεκραγὼς ἐπιπλήττει.			https://www.zotero.org/groups/2320447/items/HHVGPUU8	HHVGPUU8	https://www.zotero.org/groups/2320447/items/G35HFK6A	G35HFK6A	ready to collate			Eliana			
232.02	186	Eusebius	Martyrae Palestinae		2.1		#N/A	https://ccel.org/ccel/schaff/npnf201/npnf201.iii.xiv.iii.html	English		What occurred to Romanus on the same day at Antioch, is also worthy of record. For he was a native of Palestine, a deacon and exorcist in the $parish of Cæsarea;% and being present at the destruction of the churches, he beheld many men, with women and children, going up in crowds to the idols and sacrificing. But, through his great zeal for religion, he could not endure the sight, and rebuked them with a loud voice			https://www.zotero.org/groups/2320447/items/NANLZS57	NANLZS57	https://www.zotero.org/groups/2320447/items/BTVVYMAC	BTVVYMAC	ready to collate			Eliana			
232.03	187	Eusebius	Martyrae Palestinae		2.4		urn:cts:greekLit:tlg2018.tlg003.opp-grc1:2.4	https://scaife-cts.perseus.org/api/cts?request=GetPassage&urn=urn:cts:greekLit:tlg2018.tlg003.opp-grc1:2.4	Greek	Y	μεθ’ ἣν τιμωρίαν $εἰς δεσμὰ% βληθεὶς, πλεῖστόν τε αὐτόθι πονηθεὶς χρόνον, τέλος τῆς ἀρχικῆς εἰκοσαετηρίδος ἐπιστάσης, κατὰ νομιζομένην δωρεὰν τῶν ἐν τοῖς δεσμοῖς πανταχῆ πάντων ἐλευθερίας ἀνακηρυχθείσης, μόνος ὑπὸ πέντε κεντήματα ἄμφω τὼ πόδε διαταθεὶς, ἐν αὐτῷ κείμενος τῷ ξύλῳ βρόχῳ περιβληθεὶς, ὡς καὶ ἐπεπόθει, μαρτυρίῳ κατεκοσμήθη.			https://www.zotero.org/groups/2320447/items/HHVGPUU8	HHVGPUU8	https://www.zotero.org/groups/2320447/items/G35HFK6A	G35HFK6A	ready to collate			Eliana			
232.03	187	Eusebius	Martyrae Palestinae		2.4		#N/A	https://ccel.org/ccel/schaff/npnf201/npnf201.iii.xiv.iii.html	English	Y	After this punishment he was thrown into $prison,% and suffered there for a very long time. At last the twentieth anniversary of the emperor being near, when, according to an established gracious custom, liberty was proclaimed everywhere to all who were in bonds, he alone had both his feet stretched over five holes in the stocks,and while he lay there was strangled, and was thus honored with martyrdom, as he desired. 			https://www.zotero.org/groups/2320447/items/NANLZS57	NANLZS57	https://www.zotero.org/groups/2320447/items/BTVVYMAC	BTVVYMAC	ready to collate			Eliana			
233	123	Eusebius	Martyrae Palestinae	3.2	3.2		urn:cts:greekLit:tlg2018.tlg003.opp-grc1:3.2	https://scaife-cts.perseus.org/api/cts?request=GetPassage&urn=urn:cts:greekLit:tlg2018.tlg003.opp-grc1:3.2	Greek	Y	τὰ ἐπὶ τούτοις τίς ἰδὼν οὐκ ἐθαύμασεν, ἡ· καὶ ἀκοῇ μαθὼν οὐκ ἐξεπλάγη; πάνδημον γάρ τοι τῶν ἐθνῶν ἑορτὴν καὶ συνήθεις θέας ἀγόντων, μετὰ τῶν ἄλλως αὐτοῖς σπουδαζομένων καὶ τοὺς ἀρτίως θηρίοις κατακριθέντας πολὺς ἦν ὁλόγος ἐπιδείξεσθαι τὸν ἀγῶνα. 	τὰ ἐπὶ τούτοις τίς ἰδὼν οὐκ ἐθαύμασεν, ἡ· καὶ ἀκοῇ μαθὼν οὐκ ἐξεπλάγη; πάνδημον γάρ τοι τῶν ἐθνῶν ἑορτὴν καὶ συνήθεις θέας ἀγόντων, μετὰ τῶν ἄλλως αὐτοῖς σπουδαζομένων καὶ τοὺς ἀρτίως θηρίοις κατακριθέντας πολὺς ἦν ὁλόγος ἐπιδείξεσθαι τὸν ἀγῶνα. 		https://www.zotero.org/groups/2320447/items/HHVGPUU8	HHVGPUU8	https://www.zotero.org/groups/2320447/items/G35HFK6A	G35HFK6A	ready to collate			Eliana	No mention of Caesarea here except in 3.4?		
234	123	Eusebius	Martyrae Palestinae	3.2	3.2		#N/A	https://ccel.org/ccel/schaff/npnf201/npnf201.iii.xiv.iv.html	English	Y	But who that beheld these things would not have admired, or if they heard of them by report, would not have been astonished? For when the heathen everywhere were holding a festival and the customary shows, it was noised abroad that besides the other entertainments, the public combat of those who had lately been condemned to wild beasts would also take place.	But who that beheld these things would not have admired, or if they heard of them by report, would not have been astonished? For when the heathen everywhere were holding a festival and the customary shows, it was noised abroad that besides the other entertainments, the public combat of those who had lately been condemned to wild beasts would also take place.		https://www.zotero.org/groups/2320447/items/NANLZS57	NANLZS57	https://www.zotero.org/groups/2320447/items/BTVVYMAC	BTVVYMAC	ready to collate			Eliana			
234.01	188	Eusebius	Martyrae Palestinae		4.2		urn:cts:greekLit:tlg2018.tlg003.opp-grc1:4.2	https://scaife-cts.perseus.org/api/cts?request=GetPassage&urn=urn:cts:greekLit:tlg2018.tlg003.opp-grc1:4.2	Greek		πᾶσι δῆτα συγχύσεως οὐ μικράς ἐπῃωρημένης, καὶ ἄλλων ἄλλοσε διασπειρομένων, διαδρᾶναί τε τὸ δεινὸν ἐπιμελὲς ποιουμένων, χαλεπῆς τε τὸ πᾶν ἐπεχούσης κινήσεως, τίς ἂν ἐξαρκέσειεν ἡμίν λόγος εἰς τὴν ἐπαξίαν διήγησιν τοῦ θείου ἔρωτος καὶ παρρησίας τῆς εἰς θεὸν ὁμολογίας τοῦ μακαρίου καὶ ὡς ἀληθῶς ἀμνοῦ ἀκάκου, μάρτυρος Ἀπφιανοῦ φημὶ, τοῦ πρὸ πυλῶν ἐπὶ θεωρίαν ἅπασι τοῖς κατὰ $Καισάρειαν θαυμαστὸν% παράδειγμα τῆς εἰς τὸν μόνον θεὸν εὐσεβείας προβεβλημένοu;			https://www.zotero.org/groups/2320447/items/HHVGPUU8	HHVGPUU8	https://www.zotero.org/groups/2320447/items/G35HFK6A	G35HFK6A	ready to collate			Eliana			
234.02	188	Eusebius	Martyrae Palestinae		4.2		#N/A	https://ccel.org/ccel/schaff/npnf201/npnf201.iii.xiv.v.html	English		In consequence, no little confusion arose among all, and they scattered here and there, endeavoring in some way to escape the danger; and there was great commotion everywhere. But what words would suffice for a suitable description of the Divine love and boldness, in confessing God, of the blessed and truly innocent lamb,—I refer to the martyr Apphianus,—who presented in the sight of all, before the $gates of Cæsarea,% a wonderful example of piety toward the only God?			https://www.zotero.org/groups/2320447/items/NANLZS57	NANLZS57	https://www.zotero.org/groups/2320447/items/BTVVYMAC	BTVVYMAC	ready to collate			Eliana			
